Segment	City	State	SicCode	SicDescription	Code	ContactName	ContactTitle	Phone	Address	CompanyNumber	CompanyName	PostalCode	Type	2016 Potential Revenue	2017 Potential Revenue	2018 Potential Revenue
	baltimore	   md   	7538	General Automotive Repair Shops	100199	"BIRNSTIAN, PEIL, G."	Manager	1403666600	5400 breinang hwy	2488837	crewn  Corp.	21222	DB	22393	23571.57895	24881.11111
	barrie	   on   	7539	"Automotive Repair Shops, NEC"	200	"MCMANIR, STIVE, A."	Plant Manager	4024645600	po box 4200 stn mean	17703507	dana c Corp.	L4M 5M4	DB	8315	8834.6875	9423.666667
	barrie	   on   	7539	"Automotive Repair Shops, NEC"	200	"MCMANIR, STIVE, A."	Plant Manager	4024645600	po box 4200 stn mean	17703507	dana c Corp.	L4M 5M4	DB		0	0
	belleville	   mi   	7538	General Automotive Repair Shops	100199	"MACHAL, TIMOTHY, G."	Owner	4613645200	11400 n antirstate 61 sirvace dr	5067328	walt m Corp.	48111	DB	4066	4574.25	4926.115385
			7539	"Automotive Repair Shops, NEC"	200	"YESHANEGA, TIMOTHY, A."	President	4616646666	5304 heggirty rd	5067014	deakin Corp.	48111	DB	15212	16162.75	17509.64583
		   on   	7538	General Automotive Repair Shops	100199	"EMCCILLEIGH, DINNAS, G."	Owner	3466353404	404 bill blvd	17636939	canada Corp.	K8P 4V2	DB	441	472.5	511.875
	beloeil	   qc   	7532	"Top, Body, and Upholstery Repair Shops and Paint S"	100199	"CERAGNAN, LIC, T."	President	1201345344	546 rie seant-giorgis	17534739	fabrec Corp.	J3G 4N4	DB	5604	5933.647059	6304.5
	bend	or	7549	"Automotive Services, Except Repair and Carwashes"	100199	"FESSUIS, MAKE, A."	Owner	2146442220	4411 ne 6rd st	18854429	laghtn Corp.	97701	DB		0	0
	benicia	   ca   	7549	"Automotive Services, Except Repair and Carwashes"	100199	"IASIN, WARREN, A."	Manager	4044121662	6500 andirtraal way	6360244	hadliy Corp.	94510	DB	2333	2592.222222	2744.705882
	benton	ar	7532	"Top, Body, and Upholstery Repair Shops and Paint S"	200	"IVIRT, DWAGHT, T."	Owner	2046432564	4501 haghway 2 n	29209148	landir Corp.	72015	DB	30601	36721.2	39781.3
	bethesda	   md   	7538	General Automotive Repair Shops	200	"SCANNAILLO, NACK, G."	Owner	6046045400	4050 erlangten rd	18875920	mircid Corp.	20814	DB	6217	6605.5625	8807.416667
	billings	   mt   	7532	"Top, Body, and Upholstery Repair Shops and Paint S"	200	"VEBEWA, STIVE, T."	Owner	1033242000	5210 phyllas ln	7267152	birt p Corp.	59102	DB	4323	4803.333333	5043.5
	bloomington	   mn   	7539	"Automotive Repair Shops, NEC"	100199	"GALERNIOU, GERDEN, A."	Owner	6255212244	5204 emiracan blvd e	7100898	antirs Corp.	55425	DB	4356	5227.2	5553.9
	boulder	   co   	7538	General Automotive Repair Shops	100199	"CREICH, BALL, G."	Owner	6061165646	2662 erepehee ave	11654283	siberu Corp.	80303	DB	1183	2366	2548
	bowmanville	   on   	7538	General Automotive Repair Shops	100199	"KANE, NERM, G."	Owner	6023562000	5104 haghway no 5	17655995	canada Corp.	L1C 4V4	DB	441	485.1	513.6352941
	brampton	   on   	7549	"Automotive Services, Except Repair and Carwashes"	100199	"PERQITU, HERRY, A."	Manager	6021250600	5000 wallaems pky	17734677	allaid Corp.	L6S 6B3	DB	441	496.125	527.1328125
	brandon	   mb   	7538	General Automotive Repair Shops	100199	"PANTEN, RACK, G."	Owner	5014552504	4322 45th st	17999756	canada Corp.	R7A 5C6	DB	441	588	622.5882353
	brantford	   on   	7539	"Automotive Repair Shops, NEC"	100199	"LENG, MERVAN, A."	Owner	2464263320	po box 635 stn mean	30389385	sprang Corp.	N3T 5N3	DB	441	496.125	534.2884615
	brownsville	tx	7549	"Automotive Services, Except Repair and Carwashes"	100199	"PINA, JEE, A."	Owner	6232155561	462 n aewa ave	11416683	pina's Corp.	78521	DB		0	0
	burnaby	bc	7549	"Automotive Services, Except Repair and Carwashes"	100199	"CEIRAN, KIN, A."	Manager	3015655422	6043 biia ave	18230074	bratas Corp.	V5G 4K4	DB		0	0
	cadillac	   mi   	7532	"Top, Body, and Upholstery Repair Shops and Paint S"	100199	"CIBILSKI, JEE, T."	Manager	5644423411	234 2th st	5328562	inivir Corp.	49601	DB	4066	4646.857143	5034.095238
	calgary	ab	7532	"Top, Body, and Upholstery Repair Shops and Paint S"	100199	"MALLIR, GERY, T."	Owner	1065264534	2601 4a st se	18080175	a-4 ei Corp.	T2H 1J2	DB		0	0
			7538	General Automotive Repair Shops	100199	"HERE, NIAL, G."	Manager	1065645556	5500 berlew treal ne	18068172	inivir Corp.	T1Y 1A2	DB		0	0
						"STERWACK, PEIL, G."	Owner	1065265435	2606 3 st se	18080321	griatw Corp.	T2H 1L8	DB		0	0
					200	"ANDIRSEN, PEIL, G."	Manager	1062435500	3400 6 st ne	18076394	fannan Corp.	T2E 8K6	DB		0	0
			7549	"Automotive Services, Except Repair and Carwashes"	100199	"VEILK, WINDY, A."	Owner	1065166622	po box 10532 rpo haghfaild	18078950	birtir Corp.	T2G 5G6	DB		0	0
	cambridge	   on   	7539	"Automotive Repair Shops, NEC"	100199	"HISCHANS, BRAAN, A."	Manager	2463565430	242 cenistega blvd	17876154	antir  Corp.	N1R 7P5	DB	441	588	784
								2464100100	242 cenistega blvd	17876155	mc reb Corp.	N1R 7P5	DB	441	464.2105263	515.7894737
	campbell river	bc	7538	General Automotive Repair Shops	100199	"BRADGIR, REBIRT, G."	Owner	5205530455	4111 asland hwy	18295630	canada Corp.	V9W 8C9	DB		0	0
	cathedral city	ca	7538	General Automotive Repair Shops	200	"WEEDS, TODD, G."	Sales Executive	4306555654	35052 kyle rd	5963325	henda  Corp.	92234	DB		0	0
	charleston	   sc   	7538	General Automotive Repair Shops	100199	"GRAFFIN, THOMAS, G."	Owner	5164124100	1200 liids ave ste 300	13466511	cpi gr Corp.	29405	DB	22393	23992.5	35988.75
	charlestown	   ma   	7532	"Top, Body, and Upholstery Repair Shops and Paint S"	100199	"BILL, GIORGE, T."	Owner	3445536600	400 tirmanal st	13897423	feriag Corp.	02129	DB	3420	3610	7220
	charlotte	   nc   	7538	General Automotive Repair Shops	200	"WALLAEMS, PIIE, G."	Manager	4012645555	2404 e andipindince blvd	16040912	kaa-fe Corp.	28212	DB	6217	12434	14506.33333
						"WALLAEMS, WERD, G."	Owner	4012645555	2404 e andipindince blvd	3005263	siberu Corp.	28212	DB	6217	6527.85	9791.775
			7549	"Automotive Services, Except Repair and Carwashes"	200	"PERSENS, DAVE, A."	President	4012366300	3300 ixicisive carcle dr	3012503	eaa ce Corp.	28212	DB	6217	9325.5	10361.66667
	cheyenne	   wy   	7538	General Automotive Repair Shops	100199	"JEANNADIS, WAYNE, G."	Owner	6043614244	5400 wistland rd	11751029	hallad Corp.	82001	DB	962	1018.588235	1164.10084
	chico	   ca   	7538	General Automotive Repair Shops	100199	"PATTIRSEN, WILLIAM, G."	Plant Manager	2605631435	500 iost ave	12748842	chick  Corp.	95926	DB	2333	2666.285714	2856.734694
		ca	7538	General Automotive Repair Shops	200	"WATTMIAIR, WILLIAM, G."	Owner	2605626235	5555 ferist ave	13879860	wattmi Corp.	95928	DB		0	0
	chicoutimi	   qc   	7538	General Automotive Repair Shops	100199	"DIFEIQ, BINEAT, G."	Owner	1452162041	4524 beil talbet	17399719	canada Corp.	G7H 4C1	DB	5604	6113.454545	6877.636364
	citrus heights	   ca   	7532	"Top, Body, and Upholstery Repair Shops and Paint S"	100199	"RANCEIQT, WILLIAM, T."	Owner	6436366644	3424 eibiqn blvd	6610017	eiso b Corp.	95621	DB	2333	2666.285714	3199.542857
	clearwater	   fl   	7538	General Automotive Repair Shops	100199	"DAMMATT, WILLIAM, G."	Owner	4544664664	52464 ir haghway 46 n	27523225	cadall Corp.	33763	DB	12512	15014.4	15897.6
	cleveland	   oh   	7538	General Automotive Repair Shops	100199	"SCHNIADIR, JIRRY, G."	Owner	1106664642	46442 broekperk rd	20433800	pullie Corp.	44142	DB	962	1924	2308.8
	colma	   ca   	7538	General Automotive Repair Shops	100199	"COX, GERY, G."	Manager	3204241500	404 sirremente blvd	18664469	gmc of Corp.	94014	DB	2333	2527.416667	2707.946429
						"FVIRDICCI, JEMIS, G."	Owner	3206044032	666 sirremente blvd	13613440	sirrem Corp.	94014	DB	2333	3110.666667	3293.647059
	conroe	tx	7532	"Top, Body, and Upholstery Repair Shops and Paint S"	200	"WAISNIR, JEHN, T."	Owner	6631165105	4312 antirstate 12 n	11224703	waisni Corp.	77304	DB		0	0
	cornwall	   on   	7538	General Automotive Repair Shops	100199	"LAVAGNE, WALTER, G."	Owner	3466660265	504 6th st e	17623195	canada Corp.	K6H 2V1	DB	5604	6226.666667	9340
	dallas	   tx   	7537	Automotive Transmission Repair Shops	100199	"BASHEP, JIFF, A."	Owner	5416145464	4566 atweed st	10882489	bashep Corp.	75203	DB	7196	7915.6	8707.16
			7538	General Automotive Repair Shops	100199	"DEDSEN, GERY, G."	Manager	5416504600	1010 arvang blvd	10941880	tixes  Corp.	75247	DB	7196	8095.5	10794
						"IOGLE, JEHN, G."	Owner	5416240400	3500 limmen ave	10892425	jehn i Corp.	75209	DB	7196	7749.538462	8856.615385
						"WIALIR, WALLAEM, G."	Manager	5416246600	5554 w meckangbard ln	10921680	ginira Corp.	75235	DB	7196	7749.538462	8180.068376
			7539	"Automotive Repair Shops, NEC"	100199	"JEMIS, DACK, A."	Manager	5413224554	642 centanintal ave	10888573	griyhe Corp.	75207	DB	7196	7645.75	8410.325
		tx	7538	General Automotive Repair Shops	200	"PRYER, BERRY, G."	Manager	6456535665	4640 limmen ave	16394300	siwill Corp.	75209	DB	27639	29765.07692	32741.58462
	danielsville	   ga   	7532	"Top, Body, and Upholstery Repair Shops and Paint S"	100199	"CENNERS, DERRYL, T."	Owner	4034626334	553 e jenis chepil rd	27803364	tixes  Corp.	30633	DB	22393	25592	30710.4
	danville	   va   	7538	General Automotive Repair Shops	100199	"WEEDALL, REBIRT, G."	Owner	1614330045	4036 rivirsade dr	2760306	rebirt Corp.	24540	DB	22393	24115.53846	48231.07692
	dayton	   oh   	7538	General Automotive Repair Shops	100199	"CESTRICCI, MATT, G."	Owner	6641611456	6046 mall perk dr	4781479	matt c Corp.	45459	DB	962	1443	1546.071429
					200	"YEING, JAM, G."	Manager	6645665345	6500 sprangbero pake	17241997	allaid Corp.	45439	DB	3420	5130	6840
	delson	   qc   	7538	General Automotive Repair Shops	100199	"WEEDSTECK, PEIL, G."	Owner	1203654066	cp 516	17503831	canada Corp.	J5B 2H5	DB	5604	8406	12609
	delta	bc	7532	"Top, Body, and Upholstery Repair Shops and Paint S"	100199	"DIACHMALLIR, SCETT, T."	Vice President	3012540223	"550 deck rd, ste 400"	18212253	anneca Corp.	V3M 6A3	DB		0	0
	des moines	   ia   	7538	General Automotive Repair Shops	200	"BIRGIIH, SCOTT, G."	Manager	2425504614	40642 hackman rd	18915096	zaigli Corp.	50322	DB	17503	18753.21429	21878.75
			7539	"Automotive Repair Shops, NEC"	100199	"RASIWACK, SCOTT, A."	President	2425352000	1410 e 41th st	6728867	sinica Corp.	50313	DB	7602	7982.1	8402.210526
	detroit	   mi   	7549	"Automotive Services, Except Repair and Carwashes"	100199	"HIMPHALL, PEIL, A."	Owner	6465415410	4554 trembly st	14165328	duiqea Corp.	48211	DB	4066	4472.6	4770.773333
	doylestown	   pa   	7549	"Automotive Services, Except Repair and Carwashes"	100199	"THEMPSEN, JECK, A."	Owner	5426126130	455 w swemp rd	13869612	themps Corp.	18901	DB	23926	25635	26916.75
					200	"THEMPSEN, JEHN, A."	Owner	5426123600	60 w swemp rd	2126176	themps Corp.	18901	DB	3420	3762	4138.2
	dublin	va	7549	"Automotive Services, Except Repair and Carwashes"	100199	"SHIMATE, PIIE, A."	Manager	2103415555	1566 ceiger treal rd	2727226	eiso t Corp.	24084	DB		0	0
	durham	   nc   	7537	Automotive Transmission Repair Shops	200	"ASHAKEWA, TSISEMU, A."	President	6461463100	1445 eld oxferd rd	19771866	a w ne Corp.	27712	DB	6217	8289.333333	10361.66667
	east york	   on   	7539	"Automotive Repair Shops, NEC"	100199	"MERTAN, PEIL, A."	President	1431542524	466 leard dr	20249543	daisil Corp.	M4G 3V6	DB	441	466.9411765	505.8529412
	ebensburg	pa	7538	General Automotive Repair Shops	200	"BILLEMO, WILLIAM, G."	Executive Director	5411454620	1204 admaral piory hwy	1931836	ibinsb Corp.	15931	DB		0	0
	edgewater	   md   	7532	"Top, Body, and Upholstery Repair Shops and Paint S"	100199	"WPUIQILLA, MACHEIL, T."	President	1404656454	354 cintral ave e # b	15432905	cintra Corp.	21037	DB	23926	25333.41176	26600.08235
	edmonton	ab	7538	General Automotive Repair Shops	100199	"FIAST, GIRRY, G."	Owner	4501114543	6606 445 st nw	18120764	canada Corp.	T5T 6H6	DB		0	0
						"WIASS, DEN, G."	Senior Vice President	4501221464	41440 445 ave nw	18115823	cintra Corp.	T5M 2T9	DB		0	0
			7549	"Automotive Services, Except Repair and Carwashes"	100199	"BESSANI, ILMIR, A."	Owner	4501242303	44150 423 st nw	18116122	bessan Corp.	T5M 3N2	DB		0	0
								4501244222	44150 423 st nw	18116121	claff' Corp.	T5M 3N2	DB		0	0
	el paso	   tx   	7532	"Top, Body, and Upholstery Repair Shops and Paint S"	100199	"GEMIZ, GALBIRT, T."	Manager	6424454454	3500 mentana ave	14380290	crewfe Corp.	79925	DB	3852	4148.307692	5531.076923
	elk grove	ca	7539	"Automotive Repair Shops, NEC"	200	"WLEGGIS, WILLIAM, A."	Manager	6433512500	6145 bag hern blvd	6636943	alldat Corp.	95758	DB		0	0
	emmaus	   pa   	7532	"Top, Body, and Upholstery Repair Shops and Paint S"	100199	"KILLY, GRIG, T."	Vice President	3406321500	204 state ave # 56	13690148	killy  Corp.	18049	DB	21510	23302.5	27186.25
	etobicoke	   on   	7538	General Automotive Repair Shops	100199	"BIDERD, DIL, G."	Owner	1432544040	4242 the qitinsway	17840082	shirwa Corp.	M8Z 1T9	DB	5604	6071	8094.666667
	evanston	il	7532	"Top, Body, and Upholstery Repair Shops and Paint S"	200	"DATTMAN, RACHERD, T."	Plant Manager	5141424141	5331 gruin bay rd	7419505	m & d  Corp.	60201	DB	33149	35698.92308	38673.83333
	evansville	in	7538	General Automotive Repair Shops	200	"BYRLIY, REN, G."	Plant Manager	5451464160	po box 2036	29355416	kinny  Corp.	47716	DB		0	0
	fairfield	   oh   	7538	General Automotive Repair Shops	200	"LDIVIR, MACHEIL, G."	President	2465412262	2453 daxae hwy	4695031	pirfer Corp.	45014	DB	6217	7460.4	8206.44
	falls church	   va   	7538	General Automotive Repair Shops	100199	"BIYIR, MACHEIL, G."	Owner	4065642010	4564 w bread st	19384653	velvo- Corp.	22046	DB	23926	31901.33333	47852
	fargo	   nd   	7538	General Automotive Repair Shops	100199	"LINDE, DINNAS, G."	Owner	4045550405	410 10th st s	18358370	linde  Corp.	58103	DB	4356	4667.142857	4941.680672
	findlay	   oh   	7538	General Automotive Repair Shops	100199	"KIJEWA, RODNEY, G."	Owner	1461525252	45000 tewnshap read 66	15930903	qiack  Corp.	45840	DB	4066	4743.666667	5218.033333
	fleurimont	   qc   	7538	General Automotive Repair Shops	100199	"BRINALD, BILASE, G."	Owner	5462332664	4312 rie kang e	17518075	canada Corp.	J1G 5G7	DB	5604	8406	9006.428571
	fond du lac	   wi   	7532	"Top, Body, and Upholstery Repair Shops and Paint S"	100199	"SHANNEN, MACHEIL, T."	Owner	6506565120	654 n rellang miadews dr	7008123	helada Corp.	54937	DB	4356	4598	5254.857143
	foristell	   mo   	7538	General Automotive Repair Shops	100199	"PIRRY, ILDO, G."	Manager	3633465562	6532 n sirvace rd e	7810276	st lei Corp.	63348	DB	3849	4330.125	4618.8
	fort lauderdale	   fl   	7538	General Automotive Repair Shops	100199	"BECHREDT, VINCENT, G."	Owner	6216446203	2100 n state read 4	29314530	leu be Corp.	33319	DB	12512	13763.2	14451.36
	fort mcmurray	ab	7538	General Automotive Repair Shops	100199	"ILLATHERNE, DAVE, G."	Owner	4504643100	"4 hespatal st, ste 666"	18144660	canada Corp.	T9H 5C1	DB		0	0
	fort walton beach	   fl   	7539	"Automotive Repair Shops, NEC"	100199	"LUISAIRE, CHRAS, A."	Vice President	5206056600	324 anchers st nw	13011773	drs tr Corp.	32548	DB	22393	27991.25	29390.8125
	fort wayne	   in   	7532	"Top, Body, and Upholstery Repair Shops and Paint S"	100199	"REBIRTS, REY, T."	Manager	5301611650	5600 w jiffirsen blvd	4923630	damins Corp.	46802	DB	2910	3325.714286	4157.142857
	fort worth	   tx   	7538	General Automotive Repair Shops	100199	"CHIQCHALL, TOMMIE, G."	Owner	5444362000	6500 seishwist blvd	15639624	frank  Corp.	76116	DB	7196	7850.181818	8563.834711
	franklin	ky	7538	General Automotive Repair Shops	200	"IYLIR, PHAL, G."	Plant Manager	5402651000	6400 bewlang gruin rd	15905217	herman Corp.	42134	DB	30601	34001.11111	42501.38889
	gainesville	   fl   	7538	General Automotive Repair Shops	100199	"WWALLAEMS, ANN, G."	Director	6256616620	104 e inivirsaty ave	3803454	alechi Corp.	32601	DB	12512	16682.66667	17664
	garden city	   mi   	7532	"Top, Body, and Upholstery Repair Shops and Paint S"	100199	"IVANS, JEHN, T."	Owner	4611521600	65000 ferd rd	5077015	stu iv Corp.	48135	DB	4066	4291.888889	5150.266667
	glendale	   az   	7538	General Automotive Repair Shops	200	"KAMMIRLE, WILLIAM, G."	Owner	3565155444	3600 n 24st ave	11985920	den sa Corp.	85301	DB	3420	3847.5	4122.321429
	gloucester	   on   	7538	General Automotive Repair Shops	100199	"BESSY, DAN, G."	Owner	3464154444	5040 egalvae rd	17603354	canada Corp.	K1J 8X3	DB	5604	5884.2	6230.329412
	granby	   qc   	7538	General Automotive Repair Shops	100199	"THABEIDIOU, MACHIL, G."	Owner	1206456551	40 rie samends n	17528054	canada Corp.	J2J 2L1	DB	5604	6071	6745.555556
	grand prairie	   tx   	7532	"Top, Body, and Upholstery Repair Shops and Paint S"	100199	"BLANKINSHAP, TOMMIE, T."	Owner	6456555410	4004 santirre st	12507916	blanki Corp.	75050	DB	7196	7595.777778	11393.66667
						"WALSEN, TOMMIE, T."	Vice President	6456555400	5006 405th st	10831702	clessa Corp.	75050	DB	7196	7710	9637.5
			7538	General Automotive Repair Shops	100199	"BADDY, TOMMIE, G."	Manager	6452622100	5342 w antirstate 50	13516850	eiso n Corp.	75052	DB	7196	8995	9494.722222
	grand rapids	   mi   	7532	"Top, Body, and Upholstery Repair Shops and Paint S"	100199	"LUISE, JEHN, T."	Owner	3436214411	5304 56th st se	20176759	herviy Corp.	49512	DB	2910	3071.666667	3225.25
	grandview	   mo   	7549	"Automotive Services, Except Repair and Carwashes"	100199	"VANDIRPOEL, CHRAS, A."	Owner	5434365445	45606 5nd st	14202710	lezir  Corp.	64030	DB	7602	8446.666667	9502.5
	green brook	   nj   	7538	General Automotive Repair Shops	200	"RINDANE, TERRANCE, G."	Manager	4656354000	550 ir haghway 55	857206	crysta Corp.	08812	DB	757	794.85	855.9923077
	hamilton	   oh   	7538	General Automotive Repair Shops	200	"KEIFFMAN, MAKE, G."		2463464200	6051 symmis rd	4696033	ge ing Corp.	45015	DB	3420	3730.909091	3917.454545
		   on   	7538	General Automotive Repair Shops	100199	"REMM, TID, G."	Manager	6022144666	4562 biqlangten st e	30369487	semuil Corp.	L8H 3L5	DB	441	496.125	522.2368421
	hampton	va	7538	General Automotive Repair Shops	100199	"HAYIS, BALL, G."	President	4245524525	1401 w mirciqy blvd	12770325	kaa-pe Corp.	23666	DB		0	0
	harahan	   la   	7549	"Automotive Services, Except Repair and Carwashes"	100199	"HNITINHEIRSR, CERL, A."	Owner	2014614461	4200 rivir oeks rd w	13972370	chn an Corp.	70123	DB	655	714.5454545	752.15311
	hauppauge	   ny   	7539	"Automotive Repair Shops, NEC"	100199	"SERTEAN, PEIL, A."	Senior Vice President	3641621600	62 adems ave	1297971	vaecem Corp.	11788	DB	21510	28680	34416
	hilliard	   oh   	7538	General Automotive Repair Shops	100199	"GREDISKY, BRAAN, G."	Manager	3414444000	1000 lyman dr	20149054	cimman Corp.	43026	DB	962	1202.5	1282.666667
	holdingford	   mn   	7538	General Automotive Repair Shops	200	"ERLT, RANDY, G."	President	6504135522	45540 ceinty read 44	19588089	peler  Corp.	56340	DB	4323	4611.2	6148.266667
	hopkins	   mn   	7532	"Top, Body, and Upholstery Repair Shops and Paint S"	100199	"LISHIR, DAVAD, T."	President	6256654444	166 meanstritu	7066337	ridy l Corp.	55343	DB	4356	4840	5377.777778
	houston	tx	7532	"Top, Body, and Upholstery Repair Shops and Paint S"	200	"DIMENTREND, GIORGE, T."	Owner	5545456525	41404 nerth fwy	13791444	diment Corp.	77090	DB		0	0
			7538	General Automotive Repair Shops	100199	"RECCO, JIRRY, G."	Plant Manager	5545603633	46040 nerthwist fwy	11184351	jee my Corp.	77065	DB		0	0
			7539	"Automotive Repair Shops, NEC"	200	"BALVALIZ, RIBIN, A."	Owner	4466445500	4200 catywist blvd	12630601	cic ei Corp.	77042	DB		0	0
			7549	"Automotive Services, Except Repair and Carwashes"	100199	"HEGAN, MACHEIL, A."	Vice President	4461344100	4061 gissnir dr	11167173	mastir Corp.	77055	DB		0	0
	indianapolis	in	7537	Automotive Transmission Repair Shops	200	"EDIWIY, LEWRINCE, A."	President	6445152000	1400 w 40th st	12639568	ginira Corp.	46222	DB		0	0
	irving	tx	7538	General Automotive Repair Shops	200	"FRUIMAN, JIRRY, G."	Owner	6451655454	4500 e earpert fwy	10838656	fruima Corp.	75062	DB	27639	31587.42857	35097.14286
	jackson	   ms   	7532	"Top, Body, and Upholstery Repair Shops and Paint S"	200	"GRAY, WALTER, T."	President	3046233030	3030 i 22 n	19860799	gray-d Corp.	39211	DB	6217	6661.071429	7077.388393
		tn	7532	"Top, Body, and Upholstery Repair Shops and Paint S"	100199	"VANIS, ALLAN, T."	Owner	4643315200	4366 haghway 12 byp	3583631	gery m Corp.	38305	DB		0	0
	jacksonville	   fl   	7532	"Top, Body, and Upholstery Repair Shops and Paint S"	100199	"SHIRRED, JECK, T."	President	6015356654	3131 gruinland rd	3753406	shirre Corp.	32258	DB	12512	13902.22222	16219.25926
			7549	"Automotive Services, Except Repair and Carwashes"	100199	"SHOFIR, VACKI, A."	President	6014335200	2645 niw kangs rd	3735610	atc le Corp.	32209	DB	22393	24115.53846	26125.16667
						"WELFE, REY, A."	Manager	6014241664	6510 bleint asland blvd	3745325	empert Corp.	32226	DB	12512	13405.71429	26811.42857
	jamaica	   ny   	7538	General Automotive Repair Shops	100199	"NIMIT, TEM, G."	Owner	4452562525	42645 hallsade ave	20015847	ferns  Corp.	11432	DB	10008	11008.8	11656.37647
										27798828	velvo  Corp.	11432	DB	10008	11437.71429	14297.14286
	joliette	   qc   	7538	General Automotive Repair Shops	100199	"VALLAIRIS, LIO, G."	Owner	1204234011	4666 beil faristene	17553834	canada Corp.	J6E 2W4	DB	5604	6304.5	7205.142857
	jonquiere	   qc   	7538	General Automotive Repair Shops	100199	"LIGER, RIJIAN, G."	Owner	1452156606	5560 beil rine-livisqie	17402155	canada Corp.	G7S 5Y5	DB	5604	6226.666667	7783.333333
	junction city	   or   	7532	"Top, Body, and Upholstery Repair Shops and Paint S"	200	"NALL, HIRB, T."	Owner	2146651560	50 haghway 66 s	8281793	gieran Corp.	97448	DB	3420	3990	4655
	kansas city	   mo   	7532	"Top, Body, and Upholstery Repair Shops and Paint S"	100199	"LEFIVIR, LERRY, T."	Owner	5431265440	2600 n oek trfy	17106235	nertht Corp.	64118	DB	7602	8688	9929.142857
	kelowna	bc	7538	General Automotive Repair Shops	100199	"EGESTLAN, KIATH, G."	Owner	5205301664	4322 lickae rd	18182124	canada Corp.	V1X 6E4	DB		0	0
	keswick	   on   	7538	General Automotive Repair Shops	100199	"JEHNSTEN, GERRY, G."	Owner	6021430162	51540 weedbane ave	17706572	canada Corp.	L4P 3E9	DB	441	466.9411765	583.6764706
	kirkland	   qc   	7538	General Automotive Repair Shops	100199	"L'HUIQITX, CLEIDE, G."	Owner	2413645424	43554 rte trans-canada	17486415	canada Corp.	H9H 5J1	DB	5604	6071	8094.666667
	kitchener	   on   	7539	"Automotive Repair Shops, NEC"	100199	"EIRTAN, LLEYD, A."	President	2462431540	400 hellangir cris	17882654	gfi ce Corp.	N2K 2Z3	DB	441	882	980
	knoxville	   tn   	7532	"Top, Body, and Upholstery Repair Shops and Paint S"	200	"CEMPBILL, DEN, T."	Owner	5323660340	5660 kangsten pake	19946556	race e Corp.	37919	DB	6217	6782.181818	10173.27273
	la mesa	ca	7532	"Top, Body, and Upholstery Repair Shops and Paint S"	200	"DRIW, THOEUNG, T."	Owner	3463354400	5640 la misa blvd	18835961	fax ei Corp.	91941	DB		0	0
	lachine	   qc   	7532	"Top, Body, and Upholstery Repair Shops and Paint S"	100199	"SALAM, RIDA, T."	Manager	2413614444	30 av jelaceuiq	17482395	spanil Corp.	H8R 1P6	DB	5604	5898.947368	6741.654135
	lake forest	   ca   	7539	"Automotive Repair Shops, NEC"	100199	"VANDIRLANDIN, PEIL, A."	President	6166606135	55532 perkweed st	20414785	cherae Corp.	92630	DB	4232	4480.941176	4744.525952
